id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
23,"Quantitative Aptitude","Medium","Find the average of 12, 18, 24, 30, and 36.","22","24","26","28","B","24","Sum = 120, average = 120/5 = 24."
24,"Quantitative Aptitude","Medium","If 8 workers complete a work in 12 days, how many days will 6 workers take?","12","14","16","18","C","16","Work = 8 × 12 = 96 worker-days. Days = 96/6 = 16."
25,"Quantitative Aptitude","Medium","A train travels 300 km in 5 hours. Find its speed.","50 km/h","55 km/h","60 km/h","65 km/h","C","60 km/h","Speed = 300/5 = 60 km/h."
26,"Quantitative Aptitude","Medium","Find the simple interest on Rs.5000 at 8% per annum for 3 years.","Rs.1000","Rs.1100","Rs.1200","Rs.1300","C","Rs.1200","SI = 5000 × 8 × 3 / 100 = 1200."
27,"Quantitative Aptitude","Medium","If the cost price is Rs.800 and loss is 10%, find the selling price.","Rs.700","Rs.720","Rs.760","Rs.780","B","Rs.720","SP = 800 - 10% of 800 = 720."
28,"Quantitative Aptitude","Medium","A number is 40% of 250. Find the number.","80","90","100","110","C","100","40% of 250 = 100."
29,"Quantitative Aptitude","Medium","The ratio of boys to girls is 4:5. If total students are 45, find number of girls.","20","25","30","35","B","25","Total parts = 9, girls = 5/9 × 45 = 25."
30,"Quantitative Aptitude","Medium","A man spends 60% of his salary and saves Rs.8000. Find his salary.","Rs.16000","Rs.18000","Rs.20000","Rs.22000","C","Rs.20000","Savings = 40%, so salary = 8000 × 100 / 40 = 20000."
31,"Quantitative Aptitude","Medium","Find compound interest on Rs.1000 at 10% per annum for 2 years.","Rs.100","Rs.200","Rs.210","Rs.220","C","Rs.210","Amount = 1000 × 1.1² = 1210, CI = 210."
32,"Quantitative Aptitude","Medium","A person covers 60 km at 30 km/h. Find the time taken.","1 hour","2 hours","3 hours","4 hours","B","2 hours","Time = Distance / Speed = 60/30 = 2 hours."
33,"Quantitative Aptitude","Medium","If 5x = 45, find x.","5","7","9","11","C","9","x = 45/5 = 9."
34,"Quantitative Aptitude","Medium","Find 35% of 400.","120","130","140","150","C","140","35% of 400 = 140."
35,"Quantitative Aptitude","Medium","The perimeter of a rectangle is 60 cm and length is 20 cm. Find breadth.","5 cm","10 cm","15 cm","20 cm","B","10 cm","2(l+b)=60, l+b=30, b=10."
36,"Quantitative Aptitude","Medium","Find the area of a triangle with base 12 cm and height 8 cm.","36 sq.cm","48 sq.cm","60 sq.cm","96 sq.cm","B","48 sq.cm","Area = 1/2 × base × height = 48."
37,"Quantitative Aptitude","Medium","A product marked Rs.1000 is sold at 10% discount. Find selling price.","Rs.800","Rs.850","Rs.900","Rs.950","C","Rs.900","Discount = 100, selling price = 900."
38,"Quantitative Aptitude","Medium","If A:B = 2:5 and B:C = 5:7, then A:B:C is:","2:5:7","4:5:7","2:10:7","7:5:2","A","2:5:7","B is common as 5, so A:B:C = 2:5:7."
39,"Quantitative Aptitude","Medium","Find the next number: 6, 11, 21, 41, ?","61","71","81","91","C","81","Differences are 5, 10, 20, so next difference is 40; 41 + 40 = 81."
40,"Quantitative Aptitude","Medium","A can do a work in 12 days and B in 24 days. Together they complete it in:","6 days","8 days","10 days","12 days","B","8 days","Together work per day = 1/12 + 1/24 = 1/8, so 8 days."
41,"English","Medium","Choose the correct sentence.","Neither of the answers are correct.","Neither of the answers is correct.","Neither answers is correct.","Neither of answer is correct.","B","Neither of the answers is correct.","Neither is singular and takes 'is'."
42,"English","Medium","Choose the correct synonym of 'Brief'.","Short","Long","Wide","Deep","A","Short","Brief means short."
43,"English","Medium","Choose the antonym of 'Expand'.","Increase","Extend","Reduce","Enlarge","C","Reduce","Reduce is the opposite of expand."
44,"English","Medium","Fill in the blank: He has been working here ___ 2020.","for","since","from","by","B","since","Use 'since' with a starting point of time."
45,"English","Medium","Fill in the blank: She has been waiting ___ two hours.","since","for","from","by","B","for","Use 'for' with duration."
46,"English","Medium","Choose the correct word: The manager gave me good ___.","advices","advice","adviced","advises","B","advice","Advice is an uncountable noun."
47,"English","Medium","Choose the correct sentence.","I prefer tea than coffee.","I prefer tea to coffee.","I prefer tea over than coffee.","I prefer tea from coffee.","B","I prefer tea to coffee.","The correct phrase is 'prefer X to Y'."
48,"English","Medium","Choose the meaning of the idiom 'break the ice'.","To start conversation","To break something","To end a meeting","To make someone angry","A","To start conversation","Break the ice means to start interaction in a comfortable way."
49,"English","Medium","Choose the correct passive voice: They completed the work.","The work completed by them.","The work was completed by them.","The work is completed by them.","The work has complete by them.","B","The work was completed by them.","Past simple active becomes was/were + past participle in passive."
50,"English","Medium","Choose the correct active voice: The letter was written by Ravi.","Ravi writes the letter.","Ravi wrote the letter.","Ravi has written the letter.","Ravi is writing the letter.","B","Ravi wrote the letter.","Past passive converts to simple past active."
51,"English","Medium","Find the error: She do not like coffee.","She","do not","like","coffee","B","do not","With 'She', use 'does not'."
52,"English","Medium","Find the error: He is senior than me.","He","is","senior than","me","C","senior than","The correct phrase is 'senior to'."
53,"English","Medium","Choose the correct form: If I were rich, I ___ travel the world.","will","would","shall","can","B","would","Second conditional uses 'would'."
54,"English","Medium","Choose the synonym of 'Accurate'.","Wrong","Exact","Rough","False","B","Exact","Accurate means exact or correct."
55,"English","Medium","Choose the antonym of 'Ancient'.","Old","Historic","Modern","Past","C","Modern","Modern is opposite to ancient."
56,"English","Medium","Choose the correct sentence.","Each of the students have a book.","Each of the students has a book.","Each students has a book.","Each of student have a book.","B","Each of the students has a book.","Each is singular and takes 'has'."
57,"English","Medium","Fill in the blank: I am looking forward ___ meeting you.","to","for","at","on","A","to","The correct phrase is 'looking forward to'."
58,"English","Medium","Choose the correct indirect speech: He said, 'I am tired.'","He said that he is tired.","He said that he was tired.","He says that he was tired.","He said he tired.","B","He said that he was tired.","In reported speech, present tense changes to past tense."
59,"English","Medium","Choose the one-word substitute: A person who writes poems.","Author","Poet","Novelist","Editor","B","Poet","A poet writes poems."
60,"English","Medium","Choose the correctly spelled word.","Accomodation","Accommodation","Acommodation","Accommadation","B","Accommodation","The correct spelling is Accommodation."
