id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
18,Digital Banking,Easy,Mobile banking is accessed through:,Mobile app or mobile browser,Only passbook,Only cheque book,Only physical token,A,Mobile app or mobile browser,Mobile banking provides banking services on mobile devices.
19,Security in Banking,Easy,OTP stands for:,One Time Password,Online Transfer Protocol,Open Token Process,One Transaction Page,A,One Time Password,OTP is a temporary authentication code.
20,Security in Banking,Easy,KYC stands for:,Know Your Customer,Keep Your Cash,Key Yield Control,Know Your Code,A,Know Your Customer,KYC verifies customer identity.
21,Security in Banking,Easy,AML stands for:,Anti-Money Laundering,Automated Money Ledger,Account Management Link,Advanced Mobile Login,A,Anti-Money Laundering,AML controls detect and prevent money laundering.
22,Security in Banking,Easy,2FA means:,Two Factor Authentication,Two File Access,Two Fund Authorization,Token File Algorithm,A,Two Factor Authentication,2FA verifies identity using two factors.
23,Payments,Easy,A payment gateway is used to:,Process online payments,Design web pages,Create account number,Print cheque book,A,Process online payments,"Payment gateways connect merchants, banks, and payment networks."
24,Payments,Easy,A merchant is:,A seller accepting payment,Only a bank regulator,Only an ATM machine,Only a cheque printer,A,A seller accepting payment,Merchant accepts payments for goods/services.
25,Payments,Easy,QR payment usually requires customer to:,Scan code and authorize payment,Write cheque only,Visit branch always,Print card,A,Scan code and authorize payment,QR codes initiate digital payment details.
26,UPI,Easy,UPI PIN is used to:,Authorize UPI payment,Change phone wallpaper,Generate IFSC,Print statement,A,Authorize UPI payment,UPI PIN confirms the transaction.
27,UPI,Easy,VPA in UPI stands for:,Virtual Payment Address,Verified Personal Account,Value Processing API,Virtual Passbook Access,A,Virtual Payment Address,VPA is a UPI payment alias.
28,Digital Payments,Easy,Settlement means:,Final movement of funds,UI design,Password reset,Card embossing,A,Final movement of funds,Settlement completes fund transfer between parties.
29,Digital Payments,Easy,Clearing means:,Calculating obligations before settlement,Deleting account,Printing passbook,Creating CSS,A,Calculating obligations before settlement,Clearing determines what participants owe.
30,Digital Banking,Easy,Digital wallet is used to:,Store value or payment credentials,Store physical cash only,Replace all banks,Print money,A,Store value or payment credentials,Wallets support digital payments.
31,Banking Channels,Easy,Which is a self-service banking channel?,ATM,Only branch manager desk,Locker room,Printed circular,A,ATM,ATM supports self-service banking.
32,Banking Channels,Easy,Phone banking commonly uses:,Call center/IVR,Cheque scanner only,POS terminal only,MICR printer only,A,Call center/IVR,Phone banking provides service through phone channels.
33,Banking Technology,Easy,CBS generally stores account data in:,Centralized database/system,Only paper ledger,Only ATM receipt,Only browser cache,A,Centralized database/system,Centralized storage enables consistent access.
34,Banking Technology,Easy,Passbook records:,Account transactions,Card color,ATM location only,Website CSS,A,Account transactions,Passbook shows transaction history.
35,Digital Payments,Easy,A cheque is:,Written instruction to bank to pay money,A payment app,A card network,An encryption key,A,Written instruction to bank to pay money,Cheque instructs bank to pay specified amount.
36,Digital Payments,Easy,Cheque truncation uses:,Electronic cheque image/data,Only physical cheque movement,Voice call approval,UPI PIN,A,Electronic cheque image/data,Cheque truncation reduces physical movement.
37,Banking Security,Easy,Phishing is:,Fraud to steal sensitive information,Normal statement generation,Legal KYC update,ATM cash refill,A,Fraud to steal sensitive information,Phishing tricks users into sharing confidential data.
38,Banking Security,Easy,Vishing uses:,Voice calls,Only CSS,Only cheque images,Only passbook,A,Voice calls,Vishing is voice-based fraud.
39,Banking Security,Easy,Smishing uses:,SMS messages,Only branch visits,Only ATMs,Only credit bureau,A,SMS messages,Smishing uses malicious text messages.
40,Banking Security,Easy,Skimming is related to stealing:,Card data,IFSC list,Branch address,Loan brochure,A,Card data,Skimming captures card data illegally.
41,Banking Technology,Easy,Loan management system manages:,Loan application to repayment lifecycle,Only CSS files,Only DNS entries,Only ATM PIN,A,Loan application to repayment lifecycle,Loan systems track loan lifecycle.
42,Banking Technology,Easy,CRM in banking helps manage:,Customer interactions,Cheque ink,ATM screen color,Router IP only,A,Customer interactions,CRM tracks service and relationship history.
43,Accounts,Easy,Savings account is mainly for:,Deposits and withdrawals for individuals,Only large corporate settlement,Only card network clearing,Only firewall setup,A,Deposits and withdrawals for individuals,Savings accounts support regular retail banking.
44,Accounts,Easy,Current account is commonly used by:,Businesses,Only children,Only ATM vendors,Only card networks,A,Businesses,Current accounts support frequent business transactions.
45,Accounts,Easy,Fixed deposit means:,Deposit for fixed tenure,Instant UPI transfer only,ATM cash tray,Password token,A,Deposit for fixed tenure,FD locks funds for a selected tenure and interest.
46,Banking Technology,Easy,API in banking is used to:,Allow systems/apps to communicate,Print currency,Replace authentication,Open locker,A,Allow systems/apps to communicate,APIs allow secure system integration.
47,Open Banking,Easy,Open banking generally means:,Consent-based sharing through APIs,No password banking,Only branch banking,Public data for everyone,A,Consent-based sharing through APIs,Open banking uses secure APIs with consent.
48,Banking Technology,Easy,Reconciliation helps to:,Match records and find mismatches,Create debit card design,Increase font size,Generate OTP only,A,Match records and find mismatches,Reconciliation compares transactions across systems.
49,Digital Payments,Easy,Transaction reference number helps to:,Track a transaction,Change IFSC,Open new account,Create password,A,Track a transaction,Reference numbers identify specific transactions.
50,Digital Payments,Easy,Failed transaction means:,Transaction did not complete successfully,Account is closed,KYC always failed,ATM is destroyed,A,Transaction did not complete successfully,Failed transactions may need reversal or retry.
51,Digital Payments,Easy,Reversal means:,Returning funds after failed/reversed transaction,Opening branch,Creating cheque,Changing card color,A,Returning funds after failed/reversed transaction,Reversal corrects unsuccessful debit/payment situations.
52,Banking Security,Easy,Audit trail means:,Record of activities/events,Customer photo only,ATM queue,Cheque design,A,Record of activities/events,Audit trail supports tracking and accountability.
53,Banking Security,Easy,Transaction monitoring detects:,Suspicious activity,CSS bugs,Card color mismatch,Printer toner level,A,Suspicious activity,Monitoring helps identify fraud/AML risks.
54,Banking Security,Easy,Data privacy means:,Protecting customer information,Publishing all data,Sharing passwords,Disabling login,A,Protecting customer information,Banks must protect personal and financial data.
55,Security in Banking,Easy,Encryption converts data into:,Unreadable form without key,Plain public text,Cheque image,SMS only,A,Unreadable form without key,Encryption protects sensitive data.
56,Payments,Easy,Tokenization means:,Replacing sensitive data with token,Sharing CVV,Printing card number,Removing authentication,A,Replacing sensitive data with token,Tokenization reduces exposure of sensitive details.
57,Banking Technology,Easy,Beneficiary in fund transfer is:,Receiver/payee,ATM vendor,Bank firewall,Card printer,A,Receiver/payee,Beneficiary receives funds.
58,Banking Technology,Easy,Maker-checker process adds:,Approval control,UI animation,Database deletion,No authentication,A,Approval control,Maker-checker separates creation and approval.
59,Banking Technology,Easy,Bank statement shows:,Transactions and balance,Only branch holidays,Only IFSC list,Only card design,A,Transactions and balance,Statement summarizes account activity.
60,Banking Technology,Easy,Account balance means:,Available/recorded amount in the account,Branch address,Card network name,ATM location,A,Available/recorded amount in the account,Account balance shows the money recorded or available in an account as per bank rules.
