id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
29,Security in Banking,Medium,Encryption protects:,Sensitive data in transit or at rest,Only UI color,Only cheque leaf,Only passbook cover,A,Sensitive data in transit or at rest,Encryption prevents unauthorized reading.
30,Security in Banking,Medium,Safest approach for sensitive banking data:,Encrypt in transit and at rest,Store plain text,Send over unsecured channels,Print publicly,A,Encrypt in transit and at rest,Sensitive data should be protected everywhere.
31,Digital Payments,Medium,Fake QR code at shop can cause:,Payment diversion fraud,Normal clearing only,KYC success,Interest credit,A,Payment diversion fraud,Fake QR can redirect payment to fraudster.
32,Digital Payments,Medium,"Before confirming UPI payment, customer should:",Verify receiver name/details,Ignore receiver name,Share PIN,Approve all requests,A,Verify receiver name/details,Verification reduces wrong/fraudulent payments.
33,Digital Payments,Medium,UPI/IMPS are suitable for:,Instant person-to-person transfers,Only cheque clearing,Only passbook printing,Only loan closure,A,Instant person-to-person transfers,They support quick digital transfers.
34,Banking Technology,Medium,IFSC in NEFT/RTGS is used to:,Identify destination branch,Generate CVV,Store app theme,Create OTP,A,Identify destination branch,IFSC routes transfer to correct bank branch.
35,Cheque Processing,Medium,Cheque truncation improves clearing by:,Using electronic cheque images/data,Only physical movement,Removing signatures,Skipping verification,A,Using electronic cheque images/data,It reduces physical cheque movement.
36,Banking Channels,Medium,Omnichannel banking means:,Consistent service across channels,Only branch service,Only ATM service,No digital access,A,Consistent service across channels,"It integrates branch, web, mobile, ATM and other channels."
37,Banking Technology,Medium,Scalability is important because systems must:,Handle increased transaction load,Change font only,Disable logs,Avoid backup,A,Handle increased transaction load,Banking systems need to handle peak traffic.
38,Banking Technology,Medium,High availability means:,Minimal downtime and continuous access,Regular offline service,One server only,No backup,A,Minimal downtime and continuous access,Banking services should remain accessible.
39,Banking Technology,Medium,Disaster recovery helps banks:,Restore services after major failure,Change UI color,Remove logs,Increase PIN length only,A,Restore services after major failure,DR supports recovery from outages/disasters.
40,Banking Technology,Medium,Backup is important to:,Restore data after loss/corruption,Publish passwords,Avoid security,Prevent all fraud,A,Restore data after loss/corruption,Backups support data recovery.
41,Digital Payments,Medium,Pending transaction means:,Final confirmation not available yet,Money is always lost,Account closed,KYC rejected,A,Final confirmation not available yet,Pending status means processing is incomplete.
42,Digital Payments,Medium,Idempotency in payment APIs prevents:,Duplicate processing on retry,Authentication,Transaction ID,All failures,A,Duplicate processing on retry,Idempotency avoids duplicate charges.
43,Digital Payments,Medium,Unique transaction ID helps with:,Tracking and reconciliation,Changing name,Generating password,Styling receipt,A,Tracking and reconciliation,Unique IDs trace transactions.
44,Security in Banking,Medium,Tricking customer to reveal OTP is:,Social engineering,Encryption,Firewall,Audit logging,A,Social engineering,Social engineering manipulates people.
45,Security in Banking,Medium,Real-time fraud detection uses:,Transaction risk monitoring,Plain password storage,No alerts,Public PIN,A,Transaction risk monitoring,Risk monitoring flags unusual behavior.
46,Security in Banking,Medium,Device binding helps by:,Linking access to trusted device,Publishing account details,Removing login,Disabling encryption,A,Linking access to trusted device,Device binding lowers account takeover risk.
47,Cards,Medium,Contactless card payments commonly use:,NFC,MICR,Cheque image,SMS only,A,NFC,NFC enables near-field contactless payments.
48,Digital Payments,Medium,Static QR usually contains:,Fixed merchant/payment address details,Transaction-specific amount always,ATM PIN,Password,A,Fixed merchant/payment address details,Static QR usually has fixed payee data.
49,Digital Payments,Medium,Dynamic QR can contain:,Transaction-specific amount/order reference,Only branch holiday list,Only CSS,Only ATM location,A,Transaction-specific amount/order reference,Dynamic QR is generated for a specific transaction.
50,Banking Technology,Medium,MIS/reporting system helps banks:,Generate operational and regulatory reports,Take ATM photos,Compile CSS,Print QR stickers,A,Generate operational and regulatory reports,MIS supports analysis and compliance.
51,Banking Technology,Medium,Ledger is used to:,Record financial transactions/accounts,Store images,Compile code,Send SMS only,A,Record financial transactions/accounts,Ledger records financial entries.
52,Banking Technology,Medium,Double-entry accounting means:,Every transaction has debit and credit effects,Every user has two passwords,Every ATM has two screens,Every loan has two cards,A,Every transaction has debit and credit effects,It records corresponding debit and credit entries.
53,Cards,Medium,Chargeback is related to:,Dispute/reversal in card transactions,Opening FD,Creating IFSC,Installing firewall,A,Dispute/reversal in card transactions,Chargeback lets cardholders dispute certain card transactions.
54,Payments,Medium,Best way to avoid duplicate payment on retry:,Idempotency key / unique request reference,Random button color,No transaction ID,Multiple retries without tracking,A,Idempotency key / unique request reference,Unique references prevent duplicate processing.
55,Digital Banking,Medium,"Before showing account balance, app must:",Authenticate and authorize user,Allow public access,Skip encryption,Skip session validation,A,Authenticate and authorize user,Sensitive data needs access control.
56,Digital Banking,Medium,Masking account/card number helps to:,Reduce sensitive data exposure,Remove need for login,Avoid audit trail,Prevent all failures,A,Reduce sensitive data exposure,Masking limits visible sensitive details.
57,Digital Payments,Medium,Wrong beneficiary details can cause:,Funds sent to wrong recipient,Card blocked automatically,KYC completion,ATM PIN change,A,Funds sent to wrong recipient,Incorrect details can misdirect funds.
58,Banking Technology,Medium,Reliable banking APIs require:,"Security, auditability, idempotency, and error handling",No authentication,Only colorful UI,Random response format,A,"Security, auditability, idempotency, and error handling","Banking APIs must be secure, traceable, and reliable."
59,Security in Banking,Medium,Least privilege means users get:,Only required permissions,All permissions,No authentication,Shared admin access,A,Only required permissions,Least privilege reduces misuse and attack impact.
60,Banking Technology,Medium,Rate limiting in banking APIs helps prevent:,Abuse and excessive requests,All interest calculation,All cheque clearing,Passbook updates only,A,Abuse and excessive requests,Rate limiting protects APIs from abuse/overload.
