id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
51,Tree Traversal,Easy,Postorder traversal order is:,"Left, Right, Root","Root, Left, Right","Left, Root, Right","Root, Right, Left",A,"Left, Right, Root",Postorder visits root after children.
52,Graph,Easy,A graph consists of:,Vertices and edges,Only arrays,Only stack frames,Only SQL rows,A,Vertices and edges,Graphs are made of nodes/vertices connected by edges.
53,Graph,Easy,"In a directed graph, edges have:",Direction,No endpoints,Only weights,No vertices,A,Direction,Directed graph edges go from one vertex to another.
54,Graph,Easy,BFS commonly uses:,Queue,Stack only,Heap only,Array index only,A,Queue,BFS uses a queue to visit level by level.
55,Graph,Easy,DFS commonly uses:,Stack or recursion,Queue only,Heap only,Hash table only,A,Stack or recursion,DFS follows depth-first behavior using stack/recursion.
56,Sorting,Easy,Bubble sort repeatedly:,Swaps adjacent wrong-order elements,Selects a random pivot only,Divides graph nodes,Uses hashing only,A,Swaps adjacent wrong-order elements,Bubble sort compares adjacent items and swaps if needed.
57,Sorting,Easy,Selection sort repeatedly selects:,Minimum/maximum element,Middle element only,Random edge,Root node,A,Minimum/maximum element,Selection sort picks the smallest/largest remaining element.
58,Sorting,Easy,Merge sort uses which technique?,Divide and conquer,Greedy only,Backtracking only,Linear probing,A,Divide and conquer,"Merge sort divides, sorts, and merges."
59,Recursion,Easy,Recursion means:,A function calls itself,A queue removes itself,An array becomes sorted,A graph has no edge,A,A function calls itself,Recursive functions solve smaller versions of the same problem.
60,Recursion,Easy,Base case in recursion is used to:,Stop recursion,Increase recursive calls forever,Create hash collision,Start a queue,A,Stop recursion,Base case prevents infinite recursive calls.
