id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
13,"Computer Networks","Easy","IP address is mainly used to:","Identify a device on a network","Style a web page","Store passwords","Create database tables","A","Identify a device on a network","An IP address identifies a device logically in a network."
14,"Computer Networks","Easy","MAC address belongs to which OSI layer?","Physical layer","Data Link layer","Network layer","Application layer","B","Data Link layer","MAC addresses are used at the Data Link layer."
15,"Computer Networks","Easy","Which protocol maps an IP address to a MAC address?","DNS","ARP","DHCP","FTP","B","ARP","ARP resolves an IP address to its corresponding MAC address in a local network."
16,"Computer Networks","Easy","DNS is used to:","Convert domain names to IP addresses","Encrypt passwords","Assign MAC addresses","Compress files","A","Convert domain names to IP addresses","DNS resolves human-readable domain names into IP addresses."
17,"Computer Networks","Easy","DHCP is used to:","Automatically assign IP addresses","Convert HTML to CSS","Encrypt network packets","Create email accounts","A","Automatically assign IP addresses","DHCP dynamically assigns IP configuration to devices."
18,"Computer Networks","Easy","HTTP commonly uses which port?","21","25","80","443","C","80","HTTP commonly runs on port 80."
19,"Computer Networks","Easy","HTTPS commonly uses which port?","21","53","80","443","D","443","HTTPS commonly runs on port 443."
20,"Computer Networks","Easy","DNS commonly uses which port?","53","80","110","143","A","53","DNS commonly uses port 53."
21,"Computer Networks","Easy","FTP commonly uses which port for control connection?","21","22","25","443","A","21","FTP control connection commonly uses port 21."
22,"Computer Networks","Easy","SMTP is mainly used for:","Sending emails","Receiving web pages","Resolving domain names","Assigning IP addresses","A","Sending emails","SMTP is used for sending emails."
23,"Computer Networks","Easy","Which protocol is used for secure remote login?","FTP","SSH","SMTP","POP3","B","SSH","SSH provides secure remote login and command execution."
24,"Computer Networks","Easy","LAN stands for:","Local Area Network","Large Access Node","Logical Application Network","Linked Address Name","A","Local Area Network","LAN connects devices within a limited area like an office or building."
25,"Computer Networks","Easy","WAN stands for:","Wide Area Network","Wireless Access Node","Web Application Network","Wide Address Name","A","Wide Area Network","WAN connects networks across large geographic areas."
26,"Computer Networks","Easy","A router is mainly used to:","Connect different networks and route packets","Only connect keyboard to computer","Only display web pages","Only store local files","A","Connect different networks and route packets","Routers forward packets between different networks."
27,"Computer Networks","Easy","A switch is mainly used to:","Connect devices within a LAN","Convert domain names to IP","Assign public IP addresses","Encrypt HTTP traffic","A","Connect devices within a LAN","A switch connects devices in a local network and forwards frames based on MAC addresses."
28,"Computer Networks","Easy","A firewall is mainly used to:","Control incoming and outgoing network traffic","Increase monitor brightness","Create database indexes","Convert IP to MAC","A","Control incoming and outgoing network traffic","A firewall filters traffic based on security rules."
29,"Computer Networks","Easy","VPN stands for:","Virtual Private Network","Verified Public Node","Virtual Packet Number","Variable Port Network","A","Virtual Private Network","VPN creates a secure tunnel over a public network."
30,"Computer Networks","Easy","Ping command mainly uses which protocol?","ICMP","SMTP","FTP","DHCP","A","ICMP","Ping uses ICMP Echo Request and Echo Reply messages."
31,"Operating System","Easy","What is the main purpose of an operating system?","To manage hardware and software resources","To only create web pages","To only store passwords","To only compile JavaScript","A","To manage hardware and software resources","An operating system acts as an interface between user applications and computer hardware."
32,"Operating System","Easy","Which of the following is an example of an operating system?","MySQL","Linux","HTML","AngularJS","B","Linux","Linux is an operating system."
33,"Operating System","Easy","The kernel is:","The core part of an operating system","A browser extension","A database table","A CSS property","A","The core part of an operating system","The kernel manages CPU, memory, devices, and system calls."
34,"Operating System","Easy","Which component provides an interface for users to interact with the operating system?","Shell","Cache","Register","Compiler only","A","Shell","The shell allows users to interact with the OS through commands or scripts."
35,"Operating System","Easy","A process is:","A program in execution","A file stored on disk only","A network cable","A database index","A","A program in execution","A process is an active instance of a program running in memory."
36,"Operating System","Easy","A program is:","An executing task only","A passive set of instructions stored on disk","A CPU register","A memory leak","B","A passive set of instructions stored on disk","A program becomes a process when it is loaded and executed."
37,"Operating System","Easy","A thread is:","A lightweight unit of execution within a process","A complete operating system","A type of hard disk","A DNS record","A","A lightweight unit of execution within a process","Threads share process resources and allow concurrent execution."
38,"Operating System","Easy","Which of the following is shared among threads of the same process?","Address space","Process ID of different process","Separate memory always","Different executable file always","A","Address space","Threads of the same process share code, data, and address space."
39,"Operating System","Easy","Multitasking means:","Running multiple tasks apparently at the same time","Deleting multiple files","Creating multiple databases","Using only one process forever","A","Running multiple tasks apparently at the same time","Multitasking allows multiple programs or tasks to progress by sharing CPU time."
40,"Operating System","Easy","Multiprogramming mainly aims to:","Keep CPU busy by having multiple programs in memory","Remove all processes","Disable scheduling","Use only one program","A","Keep CPU busy by having multiple programs in memory","Multiprogramming improves CPU utilization by switching to another job when one waits."
41,"Operating System","Easy","Which part of the OS decides which process gets CPU next?","CPU scheduler","Text editor","DNS resolver","Firewall","A","CPU scheduler","The CPU scheduler selects the next process to execute."
42,"Operating System","Easy","Context switching means:","Switching CPU from one process/thread to another","Changing monitor brightness","Changing file extension","Switching database schema only","A","Switching CPU from one process/thread to another","Context switching saves the current execution state and loads another."
43,"Operating System","Easy","Which process state means the process is currently using the CPU?","New","Ready","Running","Waiting","C","Running","A running process is actively executing on the CPU."
44,"Operating System","Easy","Which process state means the process is waiting for CPU allocation?","Ready","Running","Terminated","Blocked only","A","Ready","A ready process is prepared to run but waiting for CPU time."
45,"Operating System","Easy","Which process state means the process is waiting for I/O or an event?","Running","Ready","Waiting/Blocked","Terminated","C","Waiting/Blocked","A blocked process cannot continue until an event or I/O completes."
46,"Operating System","Easy","Main memory usually refers to:","RAM","Hard disk","Printer","Keyboard","A","RAM","RAM is the primary memory used by running programs."
47,"Operating System","Easy","Virtual memory allows:","Programs to use more memory than physically available RAM","CPU to stop scheduling","Files to disappear","Network speed to increase always","A","Programs to use more memory than physically available RAM","Virtual memory uses disk space with RAM to provide a larger logical memory."
48,"Operating System","Easy","Paging is a memory management technique where memory is divided into:","Fixed-size pages and frames","Only variable-size blocks","Only files","Only threads","A","Fixed-size pages and frames","Paging divides logical memory into pages and physical memory into frames."
49,"Operating System","Easy","Segmentation divides memory based on:","Logical segments like code, data, and stack","Fixed-size pages only","DNS records","CPU registers only","A","Logical segments like code, data, and stack","Segmentation divides a program into logical units."
50,"Operating System","Easy","A page fault occurs when:","Required page is not present in main memory","CPU speed increases","A file is renamed","A process terminates normally","A","Required page is not present in main memory","A page fault triggers loading the required page from secondary storage."
51,"Operating System","Easy","Which memory is fastest among the following?","Hard disk","RAM","Cache memory","DVD","C","Cache memory","Cache memory is faster than RAM and disk."
52,"Operating System","Easy","A file system is used to:","Organize and manage files on storage devices","Schedule CPU only","Convert IP to MAC","Create HTTP requests","A","Organize and manage files on storage devices","The file system manages file storage, directories, permissions, and metadata."
53,"Operating System","Easy","Which of the following is a common file operation?","Open","Schedule","Encrypt always","Route packet","A","Open","Common file operations include create, open, read, write, close, and delete."
54,"Operating System","Easy","Spooling is commonly used in:","Printing","CPU overheating","Database normalization","Browser routing","A","Printing","Spooling stores jobs temporarily, such as print jobs waiting for the printer."
55,"Operating System","Easy","System calls are used to:","Request services from the operating system kernel","Style web pages","Create SQL joins","Define Angular directives","A","Request services from the operating system kernel","System calls allow user programs to access OS services."
56,"Operating System","Easy","Which of the following is a type of system call?","Process control","CSS selector","HTML tag","SQL trigger only","A","Process control","System calls include process control, file management, device management, and communication."
57,"Operating System","Easy","Deadlock is a situation where:","Processes wait forever for resources held by each other","CPU runs very fast","Files are automatically backed up","Memory becomes unlimited","A","Processes wait forever for resources held by each other","Deadlock occurs when processes are stuck waiting for resources in a circular manner."
58,"Operating System","Easy","Which is a condition required for deadlock?","Mutual exclusion","Responsive design","DNS lookup","HTML rendering","A","Mutual exclusion","Mutual exclusion is one of the necessary conditions for deadlock."
59,"Operating System","Easy","Semaphore is mainly used for:","Process synchronization","Web styling","Database indexing","Email sending","A","Process synchronization","Semaphores help coordinate access to shared resources."
60,"Operating System","Easy","A critical section is:","Code segment where shared resources are accessed","A damaged hard disk sector only","A CSS block","A browser cookie","A","Code segment where shared resources are accessed","Critical sections must be protected to avoid race conditions."
