id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
46,"Operating System","Medium","Aging is used to solve:","Starvation","Page fault","DNS failure","File deletion","A","Starvation","Aging gradually increases priority of waiting processes to prevent starvation."
47,"Operating System","Medium","Race condition occurs when:","Output depends on uncontrolled timing of processes accessing shared data","Only one process exists","No shared data exists","CPU is idle forever","A","Output depends on uncontrolled timing of processes accessing shared data","Race conditions happen when multiple processes/threads access shared data without proper synchronization."
48,"Operating System","Medium","Mutex is used to:","Allow only one thread/process to access a critical section at a time","Increase disk size","Create files automatically","Replace virtual memory","A","Allow only one thread/process to access a critical section at a time","A mutex provides mutual exclusion for shared resources."
49,"Operating System","Medium","Counting semaphore is useful when:","Multiple instances of a resource are available","Only one resource exists always","No synchronization is needed","Only CSS needs styling","A","Multiple instances of a resource are available","Counting semaphores track availability of multiple identical resources."
50,"Operating System","Medium","Which page replacement algorithm replaces the page that has not been used for the longest time?","FIFO","LRU","Optimal","Round Robin","B","LRU","Least Recently Used replaces the page that has not been accessed for the longest time."
51,"Operating System","Medium","Which page replacement algorithm replaces the oldest loaded page?","FIFO","LRU","Optimal","SJF","A","FIFO","FIFO page replacement removes the page that entered memory first."
52,"Operating System","Medium","Which page replacement algorithm replaces the page that will not be used for the longest time in future?","Optimal","FIFO","LRU","FCFS","A","Optimal","Optimal page replacement uses future knowledge and gives the minimum possible page faults."
53,"Operating System","Medium","Thrashing occurs when:","System spends more time paging than executing processes","CPU executes all processes smoothly","Disk has no files","Network is disconnected","A","System spends more time paging than executing processes","Thrashing happens due to excessive page faults and swapping."
54,"Operating System","Medium","Internal fragmentation occurs when:","Allocated memory block has unused space inside it","Free memory is scattered between allocated blocks","A file is deleted","CPU stops scheduling","A","Allocated memory block has unused space inside it","Internal fragmentation is wasted space within allocated memory."
55,"Operating System","Medium","External fragmentation occurs when:","Free memory exists but is scattered in small non-contiguous blocks","Allocated block has unused internal space","Every process has enough contiguous memory","Paging removes all memory issues always","A","Free memory exists but is scattered in small non-contiguous blocks","External fragmentation occurs when free memory is available but not contiguous enough."
56,"Operating System","Medium","Paging mainly helps avoid:","External fragmentation","All CPU scheduling issues","All deadlocks","All race conditions","A","External fragmentation","Paging uses fixed-size frames, so it avoids external fragmentation."
57,"Operating System","Medium","Segmentation can suffer from:","External fragmentation","No memory overhead ever","No logical division","No protection support","A","External fragmentation","Segmentation uses variable-sized segments, which can cause external fragmentation."
58,"Operating System","Medium","Which table maps logical pages to physical frames?","Page table","Routing table","File allocation table only","DNS table","A","Page table","The page table maps virtual page numbers to physical frame numbers."
59,"Operating System","Medium","TLB is used to:","Speed up virtual address translation","Store user passwords","Route packets","Replace CPU scheduler","A","Speed up virtual address translation","Translation Lookaside Buffer caches recent page table entries."
60,"Operating System","Medium","Which of the following best describes system call mode switch?","Switch from user mode to kernel mode to access OS services","Switch from HTML to CSS","Switch from private IP to public IP","Switch from SQL to NoSQL","A","Switch from user mode to kernel mode to access OS services","System calls require switching from user mode to kernel mode so the OS can safely perform privileged operations."
