id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
20,DBMS / SQL,Easy,"The main purpose of an index is to:","Increase table size","Speed up data retrieval","Remove primary keys","Delete duplicate values automatically",B,"Speed up data retrieval","Indexes improve search and query performance."
21,DBMS / SQL,Easy,"Which SQL command is used to remove records from a table with a condition?","DROP","DELETE","TRUNCATE","ALTER",B,"DELETE","DELETE can remove rows based on a WHERE condition."
22,DBMS / SQL,Easy,"A view in SQL is:","A physical duplicate table","A virtual table based on a query","A backup file","A type of primary key",B,"A virtual table based on a query","A view is a virtual table created from a SELECT query."
23,DBMS / SQL,Medium,"A trigger is executed:","Manually only","Automatically when a defined database event occurs","Only during database backup","Only when the database starts",B,"Automatically when a defined database event occurs","Triggers run automatically on events like INSERT, UPDATE, or DELETE."
24,DBMS / SQL,Medium,"Which of the following helps prevent SQL injection?","Using plain string concatenation","Using prepared statements","Disabling primary keys","Removing all indexes",B,"Using prepared statements","Prepared statements prevent malicious SQL from being executed as query logic."
25,DBMS / SQL,Easy,"The main goal of normalization is to:","Increase data redundancy","Reduce redundancy and avoid anomalies","Make tables larger","Remove all relationships",B,"Reduce redundancy and avoid anomalies","Normalization reduces duplicate data and avoids insert, update, and delete anomalies."
26,Security,Easy,"Authentication means:","Checking what a user is allowed to access","Verifying who the user is","Encrypting database tables","Blocking all users",B,"Verifying who the user is","Authentication verifies identity."
27,Security,Easy,"Authorization means:","Verifying password","Checking user permissions","Creating a new user","Encrypting the password",B,"Checking user permissions","Authorization decides what an authenticated user can access."
28,Security,Easy,"Hashing is generally:","Two-way process","One-way process","Used only for images","Same as encoding",B,"One-way process","Hashing is one-way and cannot be reversed easily."
29,Security,Easy,"Encryption is different from hashing because encryption is:","Always one-way","Reversible with a key","Used only in databases","Not used in security",B,"Reversible with a key","Encrypted data can be decrypted using the correct key."
30,Security,Easy,"Symmetric encryption uses:","One key for encryption and another for decryption","Same key for encryption and decryption","No key","Only public key",B,"Same key for encryption and decryption","Symmetric encryption uses the same secret key."
31,Security,Easy,"Asymmetric encryption uses:","Only one shared key","Public key and private key","No key","Same password for all users",B,"Public key and private key","Asymmetric encryption uses a key pair."
32,Security,Easy,"HTTPS mainly uses which protocol for secure communication?","FTP","TLS/SSL","SMTP","DNS",B,"TLS/SSL","HTTPS uses TLS/SSL to secure HTTP traffic."
33,Security,Medium,"SQL injection happens when:","User input is safely validated","Malicious SQL is inserted through input fields","Database is normalized","Indexing is used",B,"Malicious SQL is inserted through input fields","SQL injection occurs when unsafe input changes SQL query behavior."
34,Security,Medium,"XSS mainly targets:","Database indexes","Web page users by injecting malicious scripts","Network routers","File compression",B,"Web page users by injecting malicious scripts","XSS injects malicious scripts into web pages."
35,Security,Medium,"CSRF attack tricks a user into:","Revealing database schema","Performing an unwanted action while authenticated","Creating a new browser","Changing IP address",B,"Performing an unwanted action while authenticated","CSRF abuses an authenticated user’s active session."
36,Security,Medium,"Which is a common protection against CSRF?","CSRF token","Increasing font size","Using more tables","Removing passwords",A,"CSRF token","CSRF tokens validate that the request came from a trusted page."
37,Security,Easy,"JWT commonly contains:","Header, payload, signature","Username, password, OTP only","HTML, CSS, JS","Table, row, column",A,"Header, payload, signature","JWT has three parts: header, payload, and signature."
38,Security,Medium,"OAuth is mainly used for:","Delegated authorization","Database indexing","UI styling","File compression",A,"Delegated authorization","OAuth allows apps to access resources without sharing user passwords."
39,Security,Easy,"MFA stands for:","Multi File Access","Multi Factor Authentication","Main Function Authorization","Manual Firewall Access",B,"Multi Factor Authentication","MFA uses more than one factor to verify identity."
40,Security,Easy,"Which of the following is a strong password practice?","Use same password everywhere","Use date of birth","Use long, unique, complex passwords","Share password with team",C,"Use long, unique, complex passwords","Strong passwords should be unique, long, and hard to guess."
41,Security,Easy,"A firewall is used to:","Manage database normalization","Monitor and control network traffic","Create frontend components","Store passwords in plain text",B,"Monitor and control network traffic","Firewalls control incoming and outgoing network traffic."
42,Security,Easy,"Phishing is:","A type of database join","A social engineering attack to steal sensitive information","A frontend framework","A backup method",B,"A social engineering attack to steal sensitive information","Phishing tricks users into sharing confidential data."
43,Security,Medium,"Which is safer for storing passwords?","Plain text","Encrypted text only","Salted hash","Base64 encoding",C,"Salted hash","Passwords should be stored as salted hashes."
44,Security,Easy,"Base64 encoding is:","Strong encryption","Hashing algorithm","Encoding method, not security","Firewall rule",C,"Encoding method, not security","Base64 only converts data format; it does not secure data."
45,Security,Easy,"OWASP Top 10 is related to:","Common web application security risks","Database table naming rules","Angular routing rules","Operating system commands",A,"Common web application security risks","OWASP Top 10 lists major web application security risks."
46,Angular / AngularJS,Easy,"AngularJS is mainly based on which architectural pattern?","MVC/MVVM","FTP","TCP/IP","Blockchain",A,"MVC/MVVM","AngularJS follows MVC/MVVM-style architecture."
47,Angular / AngularJS,Easy,"In AngularJS, directives are used to:","Extend HTML behavior","Create database tables","Encrypt passwords","Configure firewalls",A,"Extend HTML behavior","Directives add custom behavior to HTML elements."
48,Angular / AngularJS,Easy,"Which AngularJS directive is used for two-way data binding with input fields?","ng-repeat","ng-model","ng-if","ng-class",B,"ng-model","ng-model binds input value with scope data."
49,Angular / AngularJS,Easy,"Which directive is used to repeat HTML elements for each item in a collection?","ng-show","ng-model","ng-repeat","ng-bind",C,"ng-repeat","ng-repeat loops through collections."
50,Angular / AngularJS,Easy,"In AngularJS, $scope is used to:","Connect controller and view","Create SQL indexes","Secure network packets","Compile Java code",A,"Connect controller and view","$scope acts as a bridge between controller and view."
51,Angular / AngularJS,Easy,"Dependency Injection in AngularJS helps to:","Make components tightly coupled","Provide required dependencies automatically","Delete unused HTML","Disable services",B,"Provide required dependencies automatically","Dependency Injection provides required services or objects to components."
52,Angular / AngularJS,Easy,"Which service is commonly used in AngularJS to make HTTP requests?","$http","$route","$scope","$compileOnly",A,"$http","$http is used for AJAX and API calls in AngularJS."
53,Angular / AngularJS,Easy,"SPA stands for:","Secure Page Access","Single Page Application","Server Page Authentication","Simple Program Architecture",B,"Single Page Application","SPA loads a single main page and updates content dynamically."
54,Angular / AngularJS,Medium,"Which directive conditionally includes or removes an element from the DOM?","ng-show","ng-hide","ng-if","ng-style",C,"ng-if","ng-if removes or recreates elements in the DOM based on a condition."
55,Angular / AngularJS,Medium,"Difference between ng-show and ng-if is:","Both delete elements permanently","ng-show hides using CSS, ng-if removes from DOM","ng-if only works with tables","ng-show is used for routing",B,"ng-show hides using CSS, ng-if removes from DOM","ng-show uses display CSS, while ng-if changes DOM presence."
56,Angular / AngularJS,Easy,"AngularJS services are generally used for:","Reusable business logic and data sharing","Creating only CSS files","Writing SQL joins","Changing browser hardware",A,"Reusable business logic and data sharing","Services hold reusable logic and can share data across controllers."
57,Angular / AngularJS,Easy,"Which directive is used to apply CSS classes dynamically?","ng-class","ng-repeat","ng-model","ng-submit",A,"ng-class","ng-class dynamically applies classes."
58,Angular / AngularJS,Easy,"AngularJS filters are used to:","Format data displayed in the view","Encrypt API data","Create database keys","Stop routing",A,"Format data displayed in the view","Filters format data such as date, currency, uppercase, and lowercase."
59,Angular / AngularJS,Easy,"Which directive is used to handle form submission?","ng-click","ng-submit","ng-repeat","ng-init",B,"ng-submit","ng-submit handles form submit events."
60,Angular / AngularJS,Easy,"In AngularJS, routing is mainly used to:","Navigate between views in a single page application","Create database backup","Encrypt passwords","Manage network ports",A,"Navigate between views in a single page application","Routing helps navigate between different views without full page reload."
