id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
11,DBMS / SQL,Medium,"Which situation represents a partial dependency?","A non-key attribute depends on only part of a composite primary key","A non-key attribute depends on another non-key attribute","A primary key depends on a foreign key","A table has no primary key",A,"A non-key attribute depends on only part of a composite primary key","Partial dependency occurs when a non-key attribute depends on part of a composite key."
12,DBMS / SQL,Medium,"Which situation represents a transitive dependency?","A primary key depends on a foreign key","A non-key attribute depends on another non-key attribute","A table has atomic values","A table has no duplicate rows",B,"A non-key attribute depends on another non-key attribute","Transitive dependency occurs when a non-key attribute depends on another non-key attribute instead of directly depending only on the key."
13,DBMS / SQL,Medium,"A table has StudentID, DepartmentID, and DepartmentName. DepartmentName depends on DepartmentID, not directly on StudentID. Which normal form issue is this?","1NF violation","Partial dependency","Transitive dependency","Multivalued dependency",C,"Transitive dependency","DepartmentName depends on DepartmentID, creating a transitive dependency."
14,DBMS / SQL,Medium,"Which normal form is required before a table can be considered in 3NF?","Only 1NF","Only BCNF","2NF","No previous normal form is needed",C,"2NF","A table should first satisfy 1NF and 2NF before satisfying 3NF."
15,DBMS / SQL,Medium,"Which ACID property ensures that a transaction moves the database from one valid state to another valid state?","Atomicity","Consistency","Isolation","Durability",B,"Consistency","Consistency ensures database constraints and rules remain valid after a transaction."
16,DBMS / SQL,Medium,"A transaction has updated data but has not committed. Another transaction reads that updated value. This is called:","Dirty read","Deadlock","Normalization","Indexing",A,"Dirty read","Dirty read occurs when one transaction reads uncommitted changes from another transaction."
17,DBMS / SQL,Medium,"Two transactions are waiting for each other to release locks. This situation is called:","Starvation","Deadlock","Dirty read","Rollback",B,"Deadlock","Deadlock happens when transactions wait on each other in a circular manner."
18,DBMS / SQL,Medium,"Which isolation level generally prevents dirty reads but may still allow non-repeatable reads?","Read Uncommitted","Read Committed","Serializable","No Isolation",B,"Read Committed","Read Committed prevents reading uncommitted data but may still allow changed committed values to be read later."
19,DBMS / SQL,Medium,"What is a correlated subquery?","A subquery that runs independently only once","A subquery that depends on values from the outer query","A subquery used only with DELETE","A subquery that cannot use WHERE",B,"A subquery that depends on values from the outer query","A correlated subquery references columns from the outer query and may execute for each outer row."
20,DBMS / SQL,Medium,"Which SQL statement is used to change the structure of an existing table?","ALTER","UPDATE","INSERT","COMMIT",A,"ALTER","ALTER is a DDL command used to modify table structure."
21,DBMS / SQL,Medium,"Which command is part of TCL in SQL?","GRANT","COMMIT","CREATE","SELECT",B,"COMMIT","TCL commands include COMMIT, ROLLBACK, and SAVEPOINT."
22,DBMS / SQL,Medium,"Which of the following is a disadvantage of indexing?","It always reduces storage usage","It can slow down INSERT, UPDATE, and DELETE operations","It removes the need for primary keys","It prevents SELECT queries",B,"It can slow down INSERT, UPDATE, and DELETE operations","Indexes speed up reads but can add overhead during write operations."
23,DBMS / SQL,Medium,"Which database object is best suited for automatically recording changes made to a table?","View","Trigger","Index","Cursor",B,"Trigger","Triggers can automatically execute logic when INSERT, UPDATE, or DELETE events occur."
24,DBMS / SQL,Medium,"Which anomaly occurs when deleting one row unintentionally removes useful information about another entity?","Insertion anomaly","Deletion anomaly","Update anomaly","Join anomaly",B,"Deletion anomaly","Deletion anomaly happens when removing a record causes unintended loss of related information."
25,DBMS / SQL,Medium,"Which statement is true about views?","A view always stores separate physical data","A view is a virtual table based on a query","A view cannot hide columns","A view is the same as an index",B,"A view is a virtual table based on a query","A view presents data from one or more tables through a stored query."
26,Security,Medium,"A user logs in successfully but cannot access the admin dashboard. Which concept is involved?","Authentication","Authorization","Hashing","Encoding",B,"Authorization","The user identity is verified, but permission to access admin resources is controlled by authorization."
27,Security,Medium,"Which is the safest way to store user passwords?","Plain text","Base64 encoded password","Salted and hashed password","Password in localStorage",C,"Salted and hashed password","Passwords should be salted and hashed to reduce the impact of password database leaks."
28,Security,Medium,"What does salting a password help prevent?","SQL joins","Same passwords producing identical hashes","HTTP requests","CSS injection",B,"Same passwords producing identical hashes","A salt adds randomness so identical passwords do not produce the same hash."
29,Security,Medium,"Which attack is most likely when user input is displayed on a page without proper escaping?","CSRF","XSS","Deadlock","Phishing only",B,"XSS","XSS occurs when malicious scripts are injected into web pages shown to users."
30,Security,Medium,"A malicious script is permanently stored in a comment field and runs when users view the page. What type of XSS is this?","Stored XSS","Reflected XSS","DOMless XSS","CSRF",A,"Stored XSS","Stored XSS persists in the application database or storage and affects users who view it."
31,Security,Medium,"A malicious script is sent through a URL and executed immediately in the victim's browser. What type of XSS is this?","Stored XSS","Reflected XSS","Password attack","Brute force",B,"Reflected XSS","Reflected XSS occurs when malicious input is reflected immediately in the response."
32,Security,Medium,"Which HTTP response header can help reduce XSS risk by restricting allowed script sources?","Content-Security-Policy","Content-Length","Accept-Language","Cache-Control only",A,"Content-Security-Policy","CSP restricts which sources can load scripts and other resources."
33,Security,Medium,"Which approach is best to prevent SQL injection?","Concatenate user input directly into SQL","Use prepared statements or parameterized queries","Disable all validations","Use only GET requests",B,"Use prepared statements or parameterized queries","Parameterized queries separate SQL logic from user input."
34,Security,Medium,"Which attack mainly abuses a logged-in user's active session to perform unwanted actions?","CSRF","SQL injection","Brute force","DDoS",A,"CSRF","CSRF tricks an authenticated browser into submitting unwanted requests."
35,Security,Medium,"Which of the following helps protect against CSRF?","CSRF token and SameSite cookie policy","Only using larger buttons","Base64 encoding","Increasing database indexes",A,"CSRF token and SameSite cookie policy","CSRF tokens and SameSite cookies reduce the chance of forged cross-site requests."
36,Security,Medium,"If a JWT payload is changed by an attacker, what should happen during verification?","The token should still be accepted","The signature verification should fail","The token should become encrypted automatically","The password should be shown",B,"The signature verification should fail","JWT signature verification detects tampering in the header or payload."
37,Security,Medium,"Which is generally safer for storing sensitive session tokens in a browser?","Plain JavaScript variable only","localStorage always","HTTP-only secure cookie","URL query parameter",C,"HTTP-only secure cookie","HTTP-only secure cookies reduce token theft risk from XSS because JavaScript cannot directly read them."
38,Security,Medium,"What does TLS mainly provide for HTTPS communication?","Only faster page loading","Encryption, integrity, and server authentication","Database normalization","Password hashing only",B,"Encryption, integrity, and server authentication","TLS protects data in transit and helps verify the server."
39,Security,Medium,"A digital signature mainly provides:","Confidentiality only","Authenticity, integrity, and non-repudiation","Database backup","Password reset",B,"Authenticity, integrity, and non-repudiation","Digital signatures verify who signed the data and whether it was modified."
40,Security,Medium,"Which encryption type is generally faster for large data encryption?","Symmetric encryption","Asymmetric encryption","Hashing","Encoding",A,"Symmetric encryption","Symmetric encryption is faster and commonly used for bulk data encryption."
41,Security,Medium,"Which principle says users should get only the permissions required to perform their job?","Open access principle","Least privilege principle","Maximum permission principle","Public access principle",B,"Least privilege principle","Least privilege limits user permissions to reduce security risk."
42,Security,Medium,"Which vulnerability occurs when a user can access another user's record by changing an ID in the URL?","IDOR / Broken Access Control","XSS only","CSRF only","Password spraying",A,"IDOR / Broken Access Control","IDOR happens when access control is missing or weak for object references."
43,Security,Medium,"Which is the best defense against brute-force login attempts?","Allow unlimited attempts","Rate limiting and account lockout controls","Show exact password hints","Use only HTTP",B,"Rate limiting and account lockout controls","Rate limiting and lockouts make repeated guessing harder."
44,Security,Medium,"What is the difference between IDS and IPS?","IDS detects, IPS can prevent/block","IDS encrypts, IPS hashes","IDS is for database, IPS is for frontend","There is no difference",A,"IDS detects, IPS can prevent/block","IDS monitors and alerts, while IPS can actively block suspicious traffic."
45,Security,Medium,"Which of the following is NOT a valid MFA factor category?","Something you know","Something you have","Something you are","Something you copied",D,"Something you copied","MFA factors usually include knowledge, possession, and inherence."
46,Angular / AngularJS,Medium,"In AngularJS, what is the digest cycle responsible for?","Compiling Java code","Checking scope changes and updating bindings","Creating database indexes","Encrypting API responses",B,"Checking scope changes and updating bindings","The digest cycle checks watched values and updates the view when model data changes."
47,Angular / AngularJS,Medium,"When should $scope.$apply() commonly be used?","When changes happen outside AngularJS context","For every ng-click event manually","Only for SQL queries","Only for CSS class changes",A,"When changes happen outside AngularJS context","$apply triggers a digest cycle when data changes outside AngularJS awareness, such as native callbacks."
48,Angular / AngularJS,Medium,"What does $watch do in AngularJS?","It observes changes in a scope expression","It makes HTTP calls","It creates routes","It removes DOM elements",A,"It observes changes in a scope expression","$watch monitors a scope value and runs a listener when the value changes."
49,Angular / AngularJS,Medium,"AngularJS services are generally:","Created fresh for every controller every time","Singleton objects shared across the application","Used only for CSS","Not injectable",B,"Singleton objects shared across the application","AngularJS services are singleton and can share logic/data between components."
50,Angular / AngularJS,Medium,"Which AngularJS service is used for promise-based asynchronous handling?","$q","$routeProvider","$compile","$filter",A,"$q","$q is AngularJS's promise/deferred service."
51,Angular / AngularJS,Medium,"Why is 'track by' used with ng-repeat?","To improve tracking of repeated items and avoid unnecessary DOM recreation","To encrypt list data","To create a database key","To disable two-way binding",A,"To improve tracking of repeated items and avoid unnecessary DOM recreation","track by helps AngularJS identify list items uniquely during rendering."
52,Angular / AngularJS,Medium,"Which statement about ng-if and ng-show is correct?","ng-if removes/adds DOM elements, ng-show toggles visibility with CSS","ng-show removes DOM elements, ng-if only changes color","Both are exactly same internally","ng-if is only for forms",A,"ng-if removes/adds DOM elements, ng-show toggles visibility with CSS","ng-if changes DOM presence, while ng-show uses CSS display behavior."
53,Angular / AngularJS,Medium,"Which provider is commonly used to configure routes in AngularJS ngRoute?","$routeProvider","$httpProvider only","$scopeProvider","$modelProvider",A,"$routeProvider","$routeProvider is used to configure routes when using ngRoute."
54,Angular / AngularJS,Medium,"What is the purpose of $http interceptors?","To intercept requests/responses for common handling","To create database tables","To directly update HTML templates only","To replace controllers",A,"To intercept requests/responses for common handling","Interceptors are commonly used for auth headers, error handling, and request/response transformations."
55,Angular / AngularJS,Medium,"Which directive creates a new child scope for each repeated item?","ng-repeat","ng-model","ng-bind","ng-class",A,"ng-repeat","ng-repeat creates a new child scope for each item in the collection."
56,Angular / AngularJS,Medium,"What is an isolated scope in a custom directive?","A scope that does not directly inherit parent scope properties unless explicitly bound","A global scope available everywhere","A database scope","A scope used only for CSS",A,"A scope that does not directly inherit parent scope properties unless explicitly bound","Isolated scope helps create reusable directives with controlled inputs/outputs."
57,Angular / AngularJS,Medium,"Which binding symbol in directive isolated scope is used for two-way binding?","@","&","=","#",C,"=","The '=' binding provides two-way binding between parent and directive isolated scope."
58,Angular / AngularJS,Medium,"Which binding symbol in directive isolated scope is used to pass a string value?","@","=","&","$",A,"@","The '@' binding passes string values from attributes."
59,Angular / AngularJS,Medium,"Which binding symbol in directive isolated scope is used to pass a parent function?","@","=","&","*",C,"&","The '&' binding allows a directive to call an expression or function from the parent scope."
60,Angular / AngularJS,Medium,"Which of the following is a common performance issue in AngularJS applications?","Too many watchers causing slow digest cycles","Using HTML tags","Using CSS files","Having a primary key in database",A,"Too many watchers causing slow digest cycles","Large numbers of watchers can make digest cycles slower and affect AngularJS performance."
