mock_id,question_id,section_order,section,topic,subtopic,difficulty,question_type,marks,negative_marks,time_limit_seconds,question,option_a,option_b,option_c,option_d,option_e,correct_option,correct_answer,explanation
FULL_MOCK_3,21,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Medium,Concept,2,-0.5,60,Which term best matches this description: reverting to a previous stable release after issues?,Observer pattern,Cohesion,Interface,Rollback,Priority,D,Rollback,Rollback means reverting to a previous stable release after issues.
FULL_MOCK_3,22,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: a status code for missing or invalid authentication?,422 Unprocessable Entity,ETag,$apply,HttpOnly cookie,401 Unauthorized,E,401 Unauthorized,401 Unauthorized means a status code for missing or invalid authentication.
FULL_MOCK_3,23,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Easy,Concept,2,-0.5,60,Which term best matches this description: event when required page is not present in main memory?,Application layer,Latency,Switch,Page fault,OSI model,D,Page fault,Page fault means event when required page is not present in main memory.
FULL_MOCK_3,24,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Medium,Concept,2,-0.5,60,Which term best matches this description: risk-driven SDLC model with repeated risk analysis?,Defect leakage,Severity,Object,Spiral model,Composition,D,Spiral model,Spiral model means risk-driven SDLC model with repeated risk analysis.
FULL_MOCK_3,25,2,Professional Knowledge,DBMS / SQL,Database Concepts,Easy,Concept,2,-0.5,60,Which term best matches this description: a command that removes the object structure and data?,NoSQL database,DROP,Partial dependency,CROSS JOIN,Primary index,B,DROP,DROP means a command that removes the object structure and data.
FULL_MOCK_3,26,2,Professional Knowledge,DBMS / SQL,Database Concepts,Easy,Concept,2,-0.5,60,Which term best matches this description: a DDL command used to modify database object structure?,SQL HAVING vs WHERE,Isolation,Consistency,Transitive dependency,ALTER,E,ALTER,ALTER means a DDL command used to modify database object structure.
FULL_MOCK_3,27,2,Professional Knowledge,Security,Application Security,Easy,Concept,2,-0.5,60,Which term best matches this description: an encoding method and not a security mechanism?,Secure coding,Base64,RBAC,Phishing,Encryption,B,Base64,Base64 means an encoding method and not a security mechanism.
FULL_MOCK_3,28,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Medium,Concept,2,-0.5,60,Which term best matches this description: the urgency or order in which a defect should be fixed?,Waterfall,Unit testing,Priority,Abstract class,Defect leakage,C,Priority,Priority means the urgency or order in which a defect should be fixed.
FULL_MOCK_3,29,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Medium,Concept,2,-0.5,60,Which term best matches this description: graph traversal using a queue level by level?,Vertical scaling,Time complexity,Bubble sort,Microservices,BFS,E,BFS,BFS means graph traversal using a queue level by level.
FULL_MOCK_3,30,2,Professional Knowledge,Security,Advanced Security,Medium,Concept,2,-0.5,60,Which term best matches this description: attack where victim is forced to use an attacker-known session identifier?,Symmetric encryption,SQL injection,Session fixation,IDS,IPS,C,Session fixation,Session fixation means attack where victim is forced to use an attacker-known session identifier.
FULL_MOCK_3,31,2,Professional Knowledge,DBMS / SQL,Database Advanced,Medium,Concept,2,-0.5,60,"Which term best matches this description: principle stating distributed systems trade off consistency, availability, and partition tolerance?",BCNF,CAP theorem,Foreign key,Deadlock,DDL,B,CAP theorem,"CAP theorem means principle stating distributed systems trade off consistency, availability, and partition tolerance."
FULL_MOCK_3,32,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Easy,Concept,2,-0.5,60,Which term best matches this description: principle that avoids duplicate logic?,DIP,Aggregation,Interface,CI/CD,DRY,E,DRY,DRY means principle that avoids duplicate logic.
FULL_MOCK_3,33,2,Professional Knowledge,Security,Application Security,Medium,Concept,2,-0.5,60,Which term best matches this description: a protocol mainly used for delegated authorization?,Firewall,Stored XSS,CSRF,Prepared statement,OAuth,E,OAuth,OAuth means a protocol mainly used for delegated authorization.
FULL_MOCK_3,34,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Easy,Concept,2,-0.5,60,Which term best matches this description: service that automatically assigns IP configuration?,VPN,DHCP,Physical layer,TCP three-way handshake,UDP,B,DHCP,DHCP means service that automatically assigns IP configuration.
FULL_MOCK_3,35,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Medium,Concept,2,-0.5,60,Which term best matches this description: CPU scheduling algorithm using fixed time quantum?,OSI model,UDP,Kernel,Bandwidth,Round Robin,E,Round Robin,Round Robin means CPU scheduling algorithm using fixed time quantum.
FULL_MOCK_3,36,2,Professional Knowledge,Computer Networks / Operating System,Advanced Networks OS,Easy,Concept,2,-0.5,60,Which term best matches this description: 32-bit addressing scheme for internet protocol addresses?,IPv4,OSI model,UDP,Latency,LRU,A,IPv4,IPv4 means 32-bit addressing scheme for internet protocol addresses.
FULL_MOCK_3,37,2,Professional Knowledge,Security,Application Security,Medium,Concept,2,-0.5,60,Which term best matches this description: a response header policy that restricts sources of scripts and resources?,IDS,Authentication,Session fixation,CSP,SQL injection,D,CSP,CSP means a response header policy that restricts sources of scripts and resources.
FULL_MOCK_3,38,2,Professional Knowledge,DBMS / SQL,Database Concepts,Medium,Concept,2,-0.5,60,Which term best matches this description: a database object that runs automatically on specified events?,UNION ALL,Foreign key,ROLLBACK,Trigger,Atomicity,D,Trigger,Trigger means a database object that runs automatically on specified events.
FULL_MOCK_3,39,2,Professional Knowledge,Security,Application Security,Medium,Concept,2,-0.5,60,Which term best matches this description: giving users only the minimum permissions needed?,Least privilege,TLS,Authorization,Brute force attack,Input validation,A,Least privilege,Least privilege means giving users only the minimum permissions needed.
FULL_MOCK_3,40,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Advanced DSA,Medium,Concept,2,-0.5,60,Which term best matches this description: algorithm for shortest paths with non-negative edge weights?,Kubernetes,Dijkstra algorithm,Java JVM,Greedy algorithm,Vertical scaling,B,Dijkstra algorithm,Dijkstra algorithm means algorithm for shortest paths with non-negative edge weights.
FULL_MOCK_3,41,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Easy,Concept,2,-0.5,60,Which term best matches this description: instant 24x7 interbank electronic fund transfer service?,PaaS,Tokenization,Recursion,IMPS,Core Banking System,D,IMPS,IMPS means instant 24x7 interbank electronic fund transfer service.
FULL_MOCK_3,42,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Easy,Concept,2,-0.5,60,Which term best matches this description: service that authorizes and processes online payments?,Payment gateway,AEPS,Greedy algorithm,RTGS,Dijkstra algorithm,A,Payment gateway,Payment gateway means service that authorizes and processes online payments.
FULL_MOCK_3,43,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Medium,Concept,2,-0.5,60,Which term best matches this description: condition where system spends more time paging than executing?,Thrashing,Round Robin,Mutex,IPv6,DNS,A,Thrashing,Thrashing means condition where system spends more time paging than executing.
FULL_MOCK_3,44,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Cloud DevOps Programming,Medium,Concept,2,-0.5,60,Which term best matches this description: deployment strategy using two environments to reduce release risk?,Minimum spanning tree,CBS account number,Space complexity,Microservices,Blue-green deployment,E,Blue-green deployment,Blue-green deployment means deployment strategy using two environments to reduce release risk.
FULL_MOCK_3,45,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Easy,Concept,2,-0.5,60,Which term best matches this description: batch-based electronic funds transfer system in India?,AVL tree,Graph,NEFT,Bubble sort,Time complexity,C,NEFT,NEFT means batch-based electronic funds transfer system in India.
FULL_MOCK_3,46,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Easy,Concept,2,-0.5,60,Which term best matches this description: memory management using fixed-size pages and frames?,Port 443,SJF,Context switching,Paging,IPv4,D,Paging,Paging means memory management using fixed-size pages and frames.
FULL_MOCK_3,47,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Medium,Concept,2,-0.5,60,Which term best matches this description: free memory scattered in small non-contiguous blocks?,TCP,DHCP,DNS,External fragmentation,Port 22,D,External fragmentation,External fragmentation means free memory scattered in small non-contiguous blocks.
FULL_MOCK_3,48,2,Professional Knowledge,DBMS / SQL,Database Concepts,Easy,Concept,2,-0.5,60,Which term best matches this description: a join that returns only matching rows from both tables?,2NF,INNER JOIN,3NF,DELETE,Partial dependency,B,INNER JOIN,INNER JOIN means a join that returns only matching rows from both tables.
FULL_MOCK_3,49,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Medium,Concept,2,-0.5,60,Which term best matches this description: pattern that prevents repeated calls to failing services?,Java garbage collection,Time complexity,Microservices,Java JVM,Circuit breaker,E,Circuit breaker,Circuit breaker means pattern that prevents repeated calls to failing services.
FULL_MOCK_3,50,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: AngularJS directive used for two-way binding with form input?,204 No Content,Dependency Injection,ETag,DELETE,ng-model,E,ng-model,ng-model means AngularJS directive used for two-way binding with form input.
FULL_MOCK_3,51,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: AngularJS object connecting controller and view?,$scope,localStorage,Strict equality,ng-show,401 Unauthorized,A,$scope,$scope means AngularJS object connecting controller and view.
FULL_MOCK_3,52,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Advanced Web,Medium,Concept,2,-0.5,60,Which term best matches this description: HTTP header used to control browser or proxy caching behavior?,SameSite cookie,Event bubbling,Cache-Control,setTimeout,Critical rendering path,C,Cache-Control,Cache-Control means HTTP header used to control browser or proxy caching behavior.
FULL_MOCK_3,53,2,Professional Knowledge,DBMS / SQL,Database Advanced,Medium,Concept,2,-0.5,60,Which term best matches this description: HAVING filters groups while WHERE filters rows before grouping?,Phantom read,Non-clustered index,LEFT JOIN,SQL HAVING vs WHERE,Atomicity,D,SQL HAVING vs WHERE,SQL HAVING vs WHERE means HAVING filters groups while WHERE filters rows before grouping.
FULL_MOCK_3,54,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Easy,Concept,2,-0.5,60,Which term best matches this description: maximum data transfer capacity of a network link?,Bandwidth,Round Robin,Thread,Semaphore,Thrashing,A,Bandwidth,Bandwidth means maximum data transfer capacity of a network link.
FULL_MOCK_3,55,2,Professional Knowledge,Security,Application Security,Easy,Concept,2,-0.5,60,Which term best matches this description: a reversible transformation using a key to protect data confidentiality?,Encryption,Reflected XSS,TLS,Zero trust,Principle of defense in depth,A,Encryption,Encryption means a reversible transformation using a key to protect data confidentiality.
FULL_MOCK_3,56,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: a header specifying the request body media type?,204 No Content,Dependency Injection,JSON.parse,Content-Type,HttpOnly cookie,D,Content-Type,Content-Type means a header specifying the request body media type.
FULL_MOCK_3,57,2,Professional Knowledge,DBMS / SQL,Database Concepts,Medium,Concept,2,-0.5,60,Which term best matches this description: a structure that improves read/search performance but can slow writes?,Index,BCNF,Super key,Dirty read,Primary key,A,Index,Index means a structure that improves read/search performance but can slow writes.
FULL_MOCK_3,58,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Advanced DSA,Medium,Concept,2,-0.5,60,Which term best matches this description: sorting that preserves relative order of equal elements?,Java garbage collection,Docker,Stable sorting,Merge sort,Queue,C,Stable sorting,Stable sorting means sorting that preserves relative order of equal elements.
FULL_MOCK_3,59,2,Professional Knowledge,DBMS / SQL,Database Concepts,Easy,Concept,2,-0.5,60,Which term best matches this description: a clause used to filter rows before grouping?,Savepoint,Referential integrity,HAVING,DML,WHERE,E,WHERE,WHERE means a clause used to filter rows before grouping.
FULL_MOCK_3,60,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Banking Technology,Medium,Concept,2,-0.5,60,Which term best matches this description: Bharat Bill Payment System for interoperable bill payments?,Kubernetes,Chaining,Java garbage collection,BBPS,CBS account number,D,BBPS,BBPS means Bharat Bill Payment System for interoperable bill payments.
FULL_MOCK_3,61,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: a status code often used for validation failures?,HttpOnly cookie,$http,422 Unprocessable Entity,REST,429 Too Many Requests,C,422 Unprocessable Entity,422 Unprocessable Entity means a status code often used for validation failures.
FULL_MOCK_3,62,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Easy,Concept,2,-0.5,60,Which term best matches this description: cloud model providing infrastructure like servers and storage?,KYC,Container,IaaS,Python dictionary,NEFT,C,IaaS,IaaS means cloud model providing infrastructure like servers and storage.
FULL_MOCK_3,63,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Banking Technology,Easy,Concept,2,-0.5,60,Which term best matches this description: Indian card payment network developed by NPCI?,RuPay,Core Banking System,Java JVM,Binary search,Canary deployment,A,RuPay,RuPay means Indian card payment network developed by NPCI.
FULL_MOCK_3,64,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: browser storage that persists until manually cleared?,409 Conflict,setTimeout,Promise,PATCH,localStorage,E,localStorage,localStorage means browser storage that persists until manually cleared.
FULL_MOCK_3,65,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Easy,Concept,2,-0.5,60,Which term best matches this description: core part of an operating system managing resources?,TCP three-way handshake,FCFS,DHCP,Kernel,Application layer,D,Kernel,Kernel means core part of an operating system managing resources.
FULL_MOCK_3,66,2,Professional Knowledge,Security,Application Security,Medium,Concept,2,-0.5,60,Which term best matches this description: controlling how many requests a client can make in a time window?,Asymmetric encryption,Reflected XSS,IPS,WAF,Rate limiting,E,Rate limiting,Rate limiting means controlling how many requests a client can make in a time window.
FULL_MOCK_3,67,2,Professional Knowledge,DBMS / SQL,Database Concepts,Medium,Concept,2,-0.5,60,Which term best matches this description: a normal form that removes transitive dependency?,NoSQL database,TRUNCATE,Referential integrity,Transitive dependency,3NF,E,3NF,3NF means a normal form that removes transitive dependency.
FULL_MOCK_3,68,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Banking Technology,Medium,Concept,2,-0.5,60,Which term best matches this description: security standard for organizations handling cardholder data?,Horizontal scaling,RTGS,Quick sort,RESTful statelessness,PCI DSS,E,PCI DSS,PCI DSS means security standard for organizations handling cardholder data.
FULL_MOCK_3,69,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Easy,Concept,2,-0.5,60,Which term best matches this description: instant mobile-based payment system operated through NPCI ecosystem?,Collision in hashing,Kubernetes,API Gateway,UPI,Amortized analysis,D,UPI,UPI means instant mobile-based payment system operated through NPCI ecosystem.
FULL_MOCK_3,70,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: a success status where no response body is returned?,Debouncing,Dependency Injection,sessionStorage,DELETE,204 No Content,E,204 No Content,204 No Content means a success status where no response body is returned.
FULL_MOCK_3,71,2,Professional Knowledge,DSA / Banking / Cloud / Programming,Mixed Professional,Easy,Concept,2,-0.5,60,Which term best matches this description: platform for packaging applications into containers?,Docker,AEPS,SaaS,Minimum spanning tree,BFS,A,Docker,Docker means platform for packaging applications into containers.
FULL_MOCK_3,72,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Easy,Concept,2,-0.5,60,Which term best matches this description: a special method used to initialize an object?,Overloading,Constructor,Observer pattern,DIP,Interface,B,Constructor,Constructor means a special method used to initialize an object.
FULL_MOCK_3,73,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Easy,Concept,2,-0.5,60,Which term best matches this description: delay in data transfer across a network?,Physical layer,ICMP,Private IP range,TCP,Latency,E,Latency,Latency means delay in data transfer across a network.
FULL_MOCK_3,74,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Easy,Concept,2,-0.5,60,Which term best matches this description: a method that converts JSON string to JavaScript object?,ng-model,Throttling,422 Unprocessable Entity,JSON.parse,Reflow,D,JSON.parse,JSON.parse means a method that converts JSON string to JavaScript object.
FULL_MOCK_3,75,2,Professional Knowledge,Computer Networks / Operating System,Networks and OS,Medium,Concept,2,-0.5,60,Which term best matches this description: value used to separate network and host portions of an IP address?,IPv6,Thrashing,TLB,Switch,Subnet mask,E,Subnet mask,Subnet mask means value used to separate network and host portions of an IP address.
FULL_MOCK_3,76,2,Professional Knowledge,Security,Advanced Security,Medium,Concept,2,-0.5,60,Which term best matches this description: attack trying common passwords across many accounts?,Brute force attack,CSRF,Rate limiting,IDOR,Password spraying,E,Password spraying,Password spraying means attack trying common passwords across many accounts.
FULL_MOCK_3,77,2,Professional Knowledge,REST API / Web / JavaScript / AngularJS,Web Development,Medium,Concept,2,-0.5,60,Which term best matches this description: a cookie attribute that prevents JavaScript from reading the cookie?,localStorage,HttpOnly cookie,Digest cycle,204 No Content,Accept,B,HttpOnly cookie,HttpOnly cookie means a cookie attribute that prevents JavaScript from reading the cookie.
FULL_MOCK_3,78,2,Professional Knowledge,OOP / Software Engineering,Software Engineering,Medium,Concept,2,-0.5,60,Which term best matches this description: principle that a class should have only one reason to change?,Non-functional requirement,Encapsulation,LSP,Coupling,SRP,E,SRP,SRP means principle that a class should have only one reason to change.
FULL_MOCK_3,79,2,Professional Knowledge,Security,Advanced Security,Easy,Concept,2,-0.5,60,Which term best matches this description: practice of writing code to prevent security vulnerabilities?,CSRF,Base64,Digital signature,Rate limiting,Secure coding,E,Secure coding,Secure coding means practice of writing code to prevent security vulnerabilities.
FULL_MOCK_3,80,2,Professional Knowledge,Security,Application Security,Medium,Concept,2,-0.5,60,"Which term best matches this description: a protocol that provides encryption, integrity, and authentication for HTTPS?",Authentication,TLS,Clickjacking,Firewall,Hashing,B,TLS,"TLS means a protocol that provides encryption, integrity, and authentication for HTTPS."
FULL_MOCK_3,81,3,Reasoning,Reasoning,Direction Sense,Easy,Direction,1,-0.25,60,A person faces East and turns left. Which direction is he facing?,North-East,East,West,South,North,E,North,Left from East is North.
FULL_MOCK_3,82,3,Reasoning,Reasoning,Direction Sense,Medium,Direction,1,-0.25,60,A person walks 5 km North and 3 km East. In which direction is he from starting point?,North-East,South-West,South-East,North-West,East,A,North-East,He moved north and east.
FULL_MOCK_3,83,3,Reasoning,Reasoning,Direction Sense,Medium,Direction,1,-0.25,60,"A person walks 10 km North, 6 km East, and 10 km South. How far is he from start?",16 km,4 km,20 km,10 km,6 km,E,6 km,"North and South cancel, leaving 6 km East."
FULL_MOCK_3,84,3,Reasoning,Reasoning,Direction Sense,Medium,Direction,1,-0.25,60,"A man faces North, turns 90 degrees clockwise, then 180 degrees anticlockwise. Direction?",East,North-West,South,West,North,D,West,"North to East, then 180 degrees anticlockwise to West."
FULL_MOCK_3,85,3,Reasoning,Reasoning,Blood Relation,Easy,Blood relation,1,-0.25,60,A is father of B. B is mother of C. How is A related to C?,Grandfather,Uncle,Brother,Cousin,Father,A,Grandfather,A is father of C’s mother.
FULL_MOCK_3,86,3,Reasoning,Reasoning,Blood Relation,Easy,Blood relation,1,-0.25,60,A is the brother of B and B is sister of C. How is A related to C?,Father,Sister,Mother,Brother,Uncle,D,Brother,A is male sibling.
FULL_MOCK_3,87,3,Reasoning,Reasoning,Blood Relation,Medium,Blood relation,1,-0.25,60,"A is B’s sister, C is B’s mother, and D is C’s father. How is D related to A?",Father,Brother,Uncle,Cousin,Grandfather,E,Grandfather,D is father of A’s mother.
FULL_MOCK_3,88,3,Reasoning,Reasoning,Ranking,Easy,Ranking,1,-0.25,60,Ravi is 5th from left and 7th from right. Total people?,11,14,12,13,10,A,11,Total = 5 + 7 - 1 = 11.
FULL_MOCK_3,89,3,Reasoning,Reasoning,Ranking,Medium,Ranking,1,-0.25,60,"In a row of 25 students, Arun is 10th from left. Position from right?",17th,14th,16th,15th,18th,C,16th,25 - 10 + 1 = 16.
FULL_MOCK_3,90,3,Reasoning,Reasoning,Ranking,Medium,Ranking,1,-0.25,60,"In a row of 40 people, A is 12th from left. Position from right?",29th,28th,27th,30th,31st,A,29th,40 - 12 + 1 = 29.
FULL_MOCK_3,91,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If CAT is coded as DBU, how is DOG coded?",EPI,EPH,CNF,DOG,HPE,B,EPH,Each letter is shifted one position forward.
FULL_MOCK_3,92,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If DOG is coded as EPH, how is CAT coded?",UBD,DBU,CAT,DBV,BZS,B,DBU,Each letter is shifted one position forward.
FULL_MOCK_3,93,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If TABLE is coded as UBCMF, how is CHAIR coded?",DIBJS,CHAIR,DIBJT,SJBID,BGZHQ,A,DIBJS,Each letter is shifted one position forward.
FULL_MOCK_3,94,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If PENCIL is coded as QFODJM, how is PAPER coded?",PAPER,QBQFS,SFQBQ,QBQFT,OZODQ,B,QBQFS,Each letter is shifted one position forward.
FULL_MOCK_3,95,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If RIGHT is coded as TKIJV, how is LEFT coded?",NGHV,JCDR,NGHW,LEFT,VHGN,A,NGHV,Each letter is shifted two positions forward.
FULL_MOCK_3,96,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If DELHI is coded as CDKGH, how is MUMBAI coded?",LTLAZI,LTLAZH,HZALTL,NVNCBJ,MUMBAI,B,LTLAZH,Each letter is shifted one position backward.
FULL_MOCK_3,97,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If FLOWER is coded as GMPXFS, how is GARDEN coded?",GARDEN,OFESBH,FZQCDM,HBSEFP,HBSEFO,E,HBSEFO,Each letter is shifted one position forward.
FULL_MOCK_3,98,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If BANK is coded as CBOL, how is LOAN coded?",MPBO,OBPM,LOAN,KNZM,MPBP,A,MPBO,Each letter is shifted one position forward.
FULL_MOCK_3,99,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If DATA is coded as EBUB, how is FILE coded?",GJMG,FILE,EHKD,FMJG,GJMF,E,GJMF,Each letter is shifted one position forward.
FULL_MOCK_3,100,3,Reasoning,Reasoning,Coding-Decoding,Medium,Coding,1,-0.25,60,"If CODE is coded as DPEF, how is JAVA coded?",BWBK,IZUZ,KBWC,JAVA,KBWB,E,KBWB,Each letter is shifted one position forward.
FULL_MOCK_3,101,4,Quantitative Aptitude,Quantitative Aptitude,Time and Work,Medium,Time and Work,1,-0.25,60,8 workers complete work in 12 days. 6 workers take how many days?,20,14,18,12,16,E,16,Work = 96 worker-days; 96/6=16.
FULL_MOCK_3,102,4,Quantitative Aptitude,Quantitative Aptitude,Time and Work,Medium,Time and Work,1,-0.25,60,A does work in 12 days and B in 24 days. Together?,6 days,16 days,12 days,8 days,10 days,D,8 days,1/12 + 1/24 = 1/8.
FULL_MOCK_3,103,4,Quantitative Aptitude,Quantitative Aptitude,Time and Work,Hard,Time and Work,1,-0.25,60,A and B together complete work in 6 days. A alone in 10 days. B alone?,18 days,15 days,20 days,24 days,12 days,B,15 days,B work = 1/6 - 1/10 = 1/15.
