id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
16,"REST API","Medium","CORS is enforced mainly by:","Browser","Database","CSS engine","DNS server only","A","Browser","CORS is a browser security mechanism for cross-origin requests."
17,"REST API","Medium","CORS stands for:","Cross-Origin Resource Sharing","Common Object Request Service","Client Origin Response System","Cross Output Rendering Style","A","Cross-Origin Resource Sharing","CORS controls whether browsers allow web pages to access resources from another origin."
18,"REST API","Medium","A CORS preflight request commonly uses which HTTP method?","GET","POST","OPTIONS","DELETE only","C","OPTIONS","Browsers send OPTIONS preflight requests to check allowed methods and headers."
19,"REST API","Medium","Which response header allows a specific frontend origin to access an API?","Access-Control-Allow-Origin","Content-Length","Accept-Encoding","User-Agent","A","Access-Control-Allow-Origin","Access-Control-Allow-Origin defines which origin is allowed by CORS."
20,"REST API","Medium","Which header is important when allowing custom request headers like Authorization in CORS?","Access-Control-Allow-Headers","Accept","Content-Encoding","Location","A","Access-Control-Allow-Headers","This header tells the browser which custom request headers are allowed."
21,"Web Basics","Medium","What is the Same-Origin Policy?","A browser rule restricting how documents/scripts from one origin interact with another origin","A database backup rule","A CSS naming rule","A REST endpoint naming rule","A","A browser rule restricting how documents/scripts from one origin interact with another origin","Same-Origin Policy helps isolate potentially malicious documents from accessing data across origins."
22,"Web Basics","Medium","Which cookie attribute prevents JavaScript from reading the cookie?","Secure","HttpOnly","SameSite=None","Path","B","HttpOnly","HttpOnly cookies cannot be accessed through client-side JavaScript."
23,"Web Basics","Medium","Which cookie attribute ensures cookies are sent only over HTTPS?","HttpOnly","Secure","Domain","Max-Age only","B","Secure","Secure cookies are sent only over HTTPS connections."
24,"Web Basics","Medium","Which cookie attribute helps reduce CSRF risk?","SameSite","Content-Type","Accept","User-Agent","A","SameSite","SameSite restricts when cookies are sent with cross-site requests."
25,"Web Basics","Medium","Why is storing sensitive tokens in localStorage risky?","localStorage is always sent to server automatically","It can be accessed by JavaScript if XSS occurs","It expires after every request","It cannot store strings","B","It can be accessed by JavaScript if XSS occurs","If an attacker executes JavaScript through XSS, localStorage tokens can be stolen."
26,"Web Basics","Medium","Event bubbling means:","Event moves from target element up to ancestors","Event moves only from server to client","Event deletes DOM nodes","Event blocks CSS rendering","A","Event moves from target element up to ancestors","In bubbling, the event starts at the target and propagates upward through parent elements."
27,"Web Basics","Medium","Event capturing means:","Event travels from ancestor elements down to the target","Event always starts from the target and moves upward","Event gets stored in localStorage","Event creates a Promise","A","Event travels from ancestor elements down to the target","Capturing is the phase where an event travels from the root toward the target."
28,"Web Basics","Medium","Debouncing is useful when:","You want to delay execution until frequent events stop firing","You want every event to run immediately","You want to disable JavaScript","You want to reload the page","A","You want to delay execution until frequent events stop firing","Debouncing is useful for search inputs and resize events."
29,"Web Basics","Medium","Throttling is useful when:","You want to limit execution to once per fixed interval","You want to execute only after page close","You want to remove CSS","You want to block all API calls permanently","A","You want to limit execution to once per fixed interval","Throttling ensures a function runs at most once within a specified time window."
30,"Web Basics","Medium","What is lazy loading?","Loading resources only when needed","Loading all resources before HTML","Deleting unused APIs","Encrypting CSS files","A","Loading resources only when needed","Lazy loading improves initial performance by delaying non-critical resources."
31,"Web Basics","Medium","What can cause poor web performance?","Large unoptimized assets and render-blocking resources","Semantic HTML","Compressed images","Caching static files","A","Large unoptimized assets and render-blocking resources","Heavy assets and blocking scripts can slow page loading."
32,"Web Basics","Medium","Which browser API allows changing the URL without full page reload in SPAs?","History API","Canvas API","Clipboard API only","Storage API only","A","History API","History API allows pushState and replaceState for client-side routing."
33,"Web Basics","Medium","Which HTML feature improves accessibility for screen readers?","Semantic HTML","Inline styles only","Using div for everything","Removing labels","A","Semantic HTML","Semantic elements help assistive technologies understand page structure."
34,"Web Basics","Medium","Which tag should be used to connect a label with a form input?","label","span","div","section","A","label","The label element improves form accessibility and usability."
35,"Web Basics","Medium","Which technique helps reduce static asset load size?","Minification and compression","Increasing image size","Disabling cache","Adding unused scripts","A","Minification and compression","Minification and compression reduce the amount of data transferred."
36,"JavaScript","Medium","What is hoisting in JavaScript?","Declarations are moved conceptually to the top of their scope","Functions are deleted before execution","Variables become global automatically","Promises execute before all code always","A","Declarations are moved conceptually to the top of their scope","Hoisting means declarations are processed before code execution."
37,"JavaScript","Medium","What is the result of typeof null?","null","object","undefined","number","B","object","typeof null returns object due to a historical JavaScript behavior."
38,"JavaScript","Medium","What is the main difference between == and ===?","== compares only type, === compares only value","== allows type conversion, === compares without type conversion","Both are exactly same","=== assigns a value","B","== allows type conversion, === compares without type conversion","Strict equality avoids implicit type coercion."
39,"JavaScript","Medium","What is a closure?","A function remembering variables from its lexical scope","A closed browser tab","A deleted object","A completed Promise only","A","A function remembering variables from its lexical scope","Closures allow functions to access variables from an outer scope even after that scope has finished executing."
40,"JavaScript","Medium","In regular functions, the value of this is mainly determined by:","How the function is called","Where the function is written only","The variable name","The file name","A","How the function is called","For regular functions, this depends on the call-site."
41,"JavaScript","Medium","Arrow functions differ from regular functions because they:","Have their own this","Do not have their own this","Cannot return values","Cannot be assigned to variables","B","Do not have their own this","Arrow functions use lexical this from the surrounding scope."
42,"JavaScript","Medium","Which task has higher priority in the event loop?","Microtask","Macrotask","CSS task always","Image task always","A","Microtask","Microtasks such as Promise callbacks run before the next macrotask."
43,"JavaScript","Medium","Promise .then callbacks are generally placed in:","Microtask queue","Macrotask queue","Call stack permanently","DOM tree","A","Microtask queue","Promise reactions are scheduled as microtasks."
44,"JavaScript","Medium","setTimeout callback is generally placed in:","Microtask queue","Macrotask queue","Heap only","CSSOM only","B","Macrotask queue","setTimeout callbacks are scheduled as macrotasks."
45,"JavaScript","Medium","What does async function always return?","Promise","String","Boolean","Array only","A","Promise","An async function always returns a Promise."
46,"JavaScript","Medium","What happens when await is used inside an async function?","It pauses that async function until the Promise settles","It blocks the entire browser permanently","It converts Promise into callback only","It deletes the Promise","A","It pauses that async function until the Promise settles","await pauses the async function flow without blocking the entire event loop."
47,"JavaScript","Medium","Which method creates a shallow copy of an array?","slice()","pop()","push()","splice() only removes","A","slice()","slice can return a shallow copy of an array."
48,"JavaScript","Medium","Which method mutates the original array?","map()","filter()","splice()","slice()","C","splice()","splice changes the original array by adding or removing elements."
49,"JavaScript","Medium","Which method does not mutate the original array?","sort()","reverse()","splice()","map()","D","map()","map returns a new transformed array and does not mutate the original array."
50,"JavaScript","Medium","What is the purpose of reduce()?","To accumulate array values into a single result","To only remove duplicates","To only sort values","To only find first item","A","To accumulate array values into a single result","reduce processes array values and returns an accumulated result."
51,"JavaScript","Medium","Which statement about primitive values is true?","They are compared by value","They are always compared by reference","They are mutable objects","They always have methods stored directly inside them","A","They are compared by value","Primitive values like numbers and strings are compared by value."
52,"JavaScript","Medium","Objects in JavaScript are generally compared by:","Value","Reference","Length only","Key count only","B","Reference","Objects are compared based on whether they refer to the same memory reference."
53,"JavaScript","Medium","What is destructuring used for?","Extracting values from arrays or objects into variables","Deleting all variables","Converting HTML to JSON","Creating network ports","A","Extracting values from arrays or objects into variables","Destructuring provides a concise way to unpack values."
54,"JavaScript","Medium","What does the spread operator commonly do?","Expands iterable/object values","Deletes object keys","Stops event propagation","Creates a cookie","A","Expands iterable/object values","Spread expands arrays or objects into individual elements/properties."
55,"JavaScript","Medium","What is optional chaining used for?","Safely accessing nested properties","Creating loops","Making API calls only","Declaring constants","A","Safely accessing nested properties","Optional chaining avoids errors when an intermediate property is null or undefined."
56,"JavaScript","Medium","Which value is falsy in JavaScript?","0","'hello'","[]","{}","A","0","0 is a falsy value; empty arrays and empty objects are truthy."
57,"JavaScript","Medium","Which value is truthy in JavaScript?","''","0","null","[]","D","[]","An empty array is truthy in JavaScript."
58,"JavaScript","Medium","What does event.preventDefault() do?","Stops default browser behavior for an event","Stops all JavaScript execution","Removes the DOM element","Deletes localStorage","A","Stops default browser behavior for an event","preventDefault prevents default actions such as form submission or link navigation."
59,"JavaScript","Medium","What does event.stopPropagation() do?","Stops event propagation to parent elements","Stops default form validation only","Deletes the event object","Reloads the page","A","Stops event propagation to parent elements","stopPropagation prevents the event from continuing through bubbling/capturing phases."
60,"JavaScript","Medium","Which is the best way to handle errors in async/await code?","try...catch","Only console.log","Only setTimeout","Using CSS","A","try...catch","try...catch can handle rejected Promises when using await."
